id,followers,genres,name,popularity
6CJhCtmWBiBZu2YHr2dNf0,15786.0,['musica infantil'],Bia & Nino,56
6XgJ4LQHTOtveWKH5V7X56,350499.0,"['axe', 'pagode']",Bokaloka,51
0iEEXnLK5t87wh91rNYozv,162974.0,"['forro', 'sertanejo']",Forró Boys,51
3ge4xOaKvWfhRwgx0Rldov,955578.0,"['brazilian hip hop', 'funk carioca', 'funk ostentacao']",MC Guime,51
5rTjH3aABAmPM5B6DZebZ7,647171.0,"['folk brasileiro', 'mpb', 'nova mpb']",Tiê,53
1Ja8qReIBoi7Z6ik0AQ6zS,311424.0,"['adoracao', 'brazilian gospel', 'folk brasileiro', 'louvor', 'rock gospel brasileiro', 'world worship']",Os Arrais,53
0Yjc1aaTwDoJy2KP5xS20r,15263.0,[],SUBB,52
5xk7F7RlG0tk0rsGmjFB7z,80877.0,"['brazilian edm', 'psychedelic trance', 'trance brasileiro']",Vegas (Brazil),50
18mXdMHUw1ULPaeW1DNy90,90565.0,"['folk brasileiro', 'nova mpb']",Castello Branco,50
3MDJ79txY73BUpAR7RnJEk,964975.0,"['brazilian reggae', 'brazilian rock', 'musica juiz-forana', 'nova mpb']",Onze:20,60
6Y8pfJkEdw4EAST4g9C026,1346890.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Cleber & Cauan,60
7qmf5YAQYjfjBF9C7kkjzs,201697.0,"['funk carioca', 'mpb', 'nova mpb', 'pop lgbtq+ brasileira']",Johnny Hooker,53
69AJjk7Kr9O05pUtJjGxF0,6497.0,[],Thammy,52
6wOGRxxl44uPr3DNjdocTt,38705.0,['adoracao'],Elizeu Alves,52
0fpg4Y7Q6ZRDSppLLt7G0n,81017.0,"['funk carioca', 'nova mpb', 'pop lgbtq+ brasileira']",Mc Tha,52
2TuVzZPwEPqpstqmA0qLl6,161365.0,"['brazilian indie', 'brazilian rock', 'mpb']",O Terno,53
28rjo4eRvpmLW0EsCIy6FW,299249.0,"['adoracao', 'brazilian gospel']",Ana Paula Valadão,52
